KEY;VALUE
common.communication.structure.failed;"E-mail: <br/>- Il testo mostra una struttura confusa o disordinata. <br/>- Le informazioni sono trasmesse in modo confuso, vago o difficile da capire.<br/>- Testo con paragrafi lunghi, senza elenchi.<br/>- Frasi frammentarie o troppo lunghe per essere chiare.<br/>- Senza collegamenti ipertestuali (che creano disordine nelle frasi).<br/>- I concetti nei paragrafi non sono collegati in modo fluido.<br/>- I paragrafi contengono più di tre o quattro frasi.<br/><br/>Telefono:<br/>- Il CSS ha mostrato una totale mancanza di fiducia attraverso tempi morti, espressioni evasive (ehm, oh, uh).<br/>- Non è riuscito a riportare il cliente in carreggiata. <br/>- Mostrava poca fiducia<br/>- Ha permesso al cliente di prendere il controllo della chiamata.<br/>- Ha fatto uso di troppi di tempi morti o lunghe pause durante la chiamata.<br/>- Il CSS usa parole negative.<br/>- Il CSS usa ""giustificazioni generalizzate"" riguardo a un problema/bug.<br/>  (per esempio: in caso di problemi dovuti a ""bugs""/'system_updates"" usa la formula: ""stiamo lavorando per voi"").<br/>- Dichiarazioni come: ""a causa del sistema..."", ""a causa del processo..."", ""a causa della decisione dell'azienda..."" ""a causa di un problema generale...""<br/>- Tono insicuro: ""potrebbe essere..."", ""avrebbe dovuto..."", ""probabilmente..."" quando il cliente cerca una soluzione e una risposta chiara."
inbound.communication.speech;Ritmo del parlato
inbound.communication.speech.desc;Parlare lentamente, distintamente, in modo comprensibile. Non usare parole di origine straniera (anglicismi), o termini tecnici (gergo). Non interrompere il cliente. Adattarsi al ritmo del discorso dei clienti
inbound.communication.speech.passed;Quando:<br/>- L'agente è stato molto incoraggiante. <br/>- Parla lentamente e chiaramente.  <br/>- Ha usato il nome dei clienti (per stabilire un rapporto).<br/>- L'agente non ha interrotto il cliente.
inbound.communication.speech.failed;Quando:<br/>- L'agente non era affatto incoraggiante. <br/>- Parlava troppo velocemente, o in modo poco chiaro, il cliente ha dovuto chiedere all'agente di ripetere. <br/>- Non ha usato affatto il nome dei clienti. <br/>- Interrompe il cliente.<br/>- L'agente sembra annoiato, aggressivo o indifferente.
inbound.communication.blanks;In attesa e in pausa
inbound.communication.blanks.desc;Il cliente non viene messo in attesa per troppo tempo, troppo spesso o quando non è necessario.<br/>Quando mette il cliente in attesa, il CSS chiede sempre il permesso al cliente e gli spiega il motivo dell'attesa.<br/>Il CSS informa il cliente delle azioni intraprese e non lascia il cliente senza alcuna informazione.
inbound.communication.blanks.passed;"Quando:<br/>- Il CSS non ha messo il cliente in attesa inutilmente, troppo spesso o troppo a lungo<br/>- Chiede sempre il suo permesso e gli spiega il motivo dell'attesa<br/>- Tiene informato il cliente quando non sta parlando con lui, qualora non lo metta in attesa (per esempio: ""Mi prendo qualche secondo per inserire alcune note sul caso""... ecc.)"
inbound.communication.blanks.failed;Quando:<br/>- CSS mettere il cliente in attesa inutilmente, troppo spesso o troppo a lungo<br/>- Non chiede il permesso o non spiega al cliente perché lo mette in attesa<br/>- Non informa il cliente sulle azioni intraprese e lo lascia senza dare nessuna informazione (silenzio/pausa)
common.sales;CROSS SELLING / UPSELL SELLING
inbound.sales.opportunity;Opportunità per un'offerta
inbound.sales.opportunity.desc;Possibilità di suggerire le promozioni disponibili:<br/>- Opzione (per esempio: Mobile Security App)<br/>- Rinnovo<br/>- Acquisto di un abbonamento aggiuntivo<br/>- Salt Home (se idoneo per la fibra e se i CSR sono autorizzati a vendere Home)
inbound.sales.opportunity.passed;"Quando:<br/>- L'agente suggerisce l'opzione ""Mobile Security App""<br/>- L'agente coglie l'opportunità di suggerire un contratto"
inbound.sales.opportunity.failed;Quando : <br/>- L'agente non ha suggerito nessuna opzione<br/>-C'era una chiara opportunità di offrire un contratto, ma non è stato fatto nessun suggerimento/commento da parte dell'agente<br/>- Non applicabile in caso di circostanze/situazioni ECCEZIONALI, ad esempio se il cliente chiama per una disdetta, per apertura di un caso Ombudscom o simile
inbound.sales.argumentation;Approccio argomentativo
inbound.sales.argumentation.desc;Poni domande per andare verso un bisogno del prodotto e un potenziale beneficio per il cliente<br/>Poni domande soggettive e dinamiche/reattive a seconda del flusso della conversazione.<br/><br/>In caso di obiezione, cerca di farti dare informazioni sulle ragioni, poi trattale e rispondi di conseguenza / contro argomentazione.
inbound.sales.argumentation.passed;Quando:<br/>- L'agente pone domande per identificare i bisogni/interessi del cliente.<br/>- Domande aperte (perché/come?) / domande chiuse per trarre conclusioni.<br/>- In caso di obiezione, l'agente chiede il motivo al cliente per rispondere di conseguenza.<br/>- L'agente ha fatto uno sforzo per mantenere l'interesse / affrontare l'obiezione.
inbound.sales.argumentation.failed;Quando<br/>- Nella discussione, alcune domande o punti dovevano essere esaminati ulteriormente e far emergere i bisogni del cliente.<br/>- L'agente non neanche provato a rispondere all'obiezione del cliente.<br/>- L'agente non ha fatto uno sforzo per presentare una controargomentazione<br/>- L'agente ha confermato aspetti sbagliati del prodotto o dell'opzione
inbound.sales.validation;Convalida finale dell'offerta (vendite)
inbound.sales.validation.desc;Creare un contratto CORRETTO o l'attivazione dell'opzione secondo le linee guida<br/>- in conformità con l'abbonamento/offerta/sconti accettati dal cliente. Aggiungere il codice promozionale corretto<br/>- seguendo il corretto ID-Checker
inbound.sales.validation.passed;"Quando:<br/>- L'agente ha chiesto l'ok finale per convalidare il contratto.<br/>- L'agente convalida correttamente l'offerta/il codice dell'offerta (per esempio: app, contratto, ecc.).<br/>- L'agente crea correttamente il contratto, in base ai prezzi/offerte/sconti accettati dal cliente.<br/>- L'agente ha chiesto conferma per creare un contratto; il cliente ha accettato e confermato il contratto.<br/>- Tutti gli sconti concordati sono inclusi, come da tariffe e procedure di Salt.<br/>- Tutte le pratiche standard di vendita sono rispettate<br/>- Tutti gli estremi d'identità richiesti sono stati chieste al cliente, punto per punto (cioè nome e cognome, data di nascita, indirizzo, tipo e numero di documento d'identità accettati da Salt, e-mail, credenziali dell'utente, ecc.)<br/>- Nessun errore di ortografia, o altri errori di battitura, che rischiano di confondere o autenticare i dati forniti."
inbound.sales.validation.failed;"Quando:<br/>- Il nuovo contratto non corrisponde all'accordo con/del cliente.<br/>- Non sono stati inseriti tutti i codici di sconto concordati.<br/>- L'agente ha emesso un compenso al cliente al di fuori delle linee guida di Salt<br/>- L'agente ha emesso un risarcimento al di fuori delle linee guida di Salt.<br/>- L'agente ha violato le pratiche di vendita standard.<br/>- L'agente non fa un riassunto finale dell'ordine.<br/>- Non chiede l'ok finale per convalidare il contratto.<br/>- L'agente non segue correttamente lo script ""ID_checker_speech"" dato da Salt."
common.closing;CHIUSURA
common.closing.closing;Saluti
common.closing.closing.desc;E-mail:<br/>Riepilogo e scadenze. Ringrazia il cliente per la sua fedeltà, par la sua pazienza, per il tempo dedicato per contattarci<br/>Frasi di chiusura.<br/>Rileggere e rivedere prima di inviare.<br/><br/>Telefono:<br/>Riepilogo e scadenze:<br/>Il CSS chiede se il cliente ha ulteriori/altre domande.<br/>Ringrazia il cliente per la sua fedeltà, la sua pazienza, il tempo dedicato per contattarci.<br/>Frasi di chiusura (stagionali).<br/><br/>*In caso di chiusura del contratto: <br/>Assicurarsi che il CSS informi il cliente su ciò che accadrà dopo l'ordine.
common.closing.closing.passed;"E-mail:<br/>- L'agente ha concluso con un riepilogo di ciò che avrebbe fatto o ha fatto (se necessario / se la questione è complessa).  (per esempio: ""lei spediremo la scheda SIM per posta. Dovrebbe riceverla tra XYZ giorni lavorativi"").<br/>- L'agente ha offerto supporto per qualsiasi altro aiuto tramite hotline o altro.<br/>- L'agente ha concluso l'e-mail con una frase di chiusura professionale (es. ""Cordiali saluti"", ecc.)<br/>- L'agente ha usato la firma corretta.<br/>- L'agente ha riletto l'e-mail nel suo complesso prima di inviarla per fare un'auto-revisione e ricontrollare eventuali piccoli errori di ortografia.<br/><br/>Telefono:<br/>- Il CSS fornisce lo script di chiusura <br/>- CSS ha dato le disposizioni in caso di contract_closing.<br/>- Il CSS fa un breve riepilogo (riassumendo i punti precedenti, se sono stati affrontati molti argomenti, o menzionando l'appuntamento/call-back prestabilito).<br/>- Il CSS chiede se il cliente ha ulteriori/altre domande<br/>- Il CSS fa un commento positivo sulla scelta del cliente (se è stato concluso un ordine).<br/>- Il CSS ringrazia il cliente per la sua fedeltà, la sua pazienza, il tempo che ha dedicato a contattarci. Evitare ""grazie per la sua chiamata""<br/>- saluto di congedo e fine della chiamata senza intoppi."
