code;name;street;postal_code;city;manager;chain_name;email
105385;PostShop Grenchen;Kirchstrasse 10;2540;Grenchen 1;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
108108;PostShop Langenthal;Jurastrasse 41;4900;Langenthal 1;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
105451;PostShop Lugano;Via della Posta 7;6900;Lugano 1;Gianni Cartolano;Schweizerische Post;Gianni.Cartolano@salt.ch
108109;PostShop Murten;Bahnhofstrasse 10;3280;Murten;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
105386;PostShop Neuchâtel 1 Dépôt;Place Numa-Droz;2001;Neuchâtel 1 Dépôt;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
105387;PostShop Olten 1 Annahme;Bahnhofquai 12;4600;Olten 1;Besnik Jakupi;Schweizerische Post;Besnik.Jakupi@salt.ch
105388;PostShop Rapperswil SG;Untere Bahnhofstrasse;8640;Rapperswil SG;Lucas Amigo;Schweizerische Post;Lucas.Amigo@salt.ch
105389;PostShop Schaffhausen;Bahnhofstrasse 34;8200;Schaffhausen 1;Lucas Amigo;Schweizerische Post;Lucas.Amigo@salt.ch
105452;PostShop St. Gallen 1 Annahme;Bahnhofplatz 5;9000;St. Gallen 1 Annahme;Lucas Amigo;Schweizerische Post;Lucas.Amigo@salt.ch
105390;PostShop Thun;Panoramastrasse 1 A;3601;Thun 1 Bahnhofplatz;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
105391;PostShop Uster;Gerichtsstrasse 4;8610;Uster 1;Gianni Cartolano;Schweizerische Post;Gianni.Cartolano@salt.ch
105392;PostShop Wädenswil;Reblaubenweg;8820;Wädenswil;Lucas Amigo;Schweizerische Post;Lucas.Amigo@salt.ch
105393;PostShop Will SG;Hubstrasse 18;9500;Wil SG 1;Lucas Amigo;Schweizerische Post;Lucas.Amigo@salt.ch
105394;PostShop Yverdon-les-Bains;Avenue de la Gare 6;1400;Yverdon-les-Bains 1;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
108110;PostShop Rüti ZH;Ferrachstrasse 10;8630;Rüti ZH;Gianni Cartolano;Schweizerische Post;Gianni.Cartolano@salt.ch
105396;PostShop Buchs SG;Bahnhofplatz 1;9470;Buchs SG 1;Lucas Amigo;Schweizerische Post;Lucas.Amigo@salt.ch
108111;PostShop Gossau SG;Poststrasse 6;9200;Gossau SG 1;Lucas Amigo;Schweizerische Post;Lucas.Amigo@salt.ch
108112;PostShop St. Gallen 4 Brühltor;Brühlgasse 1;9004;St. Gallen 4 Brühltor;Lucas Amigo;Schweizerische Post;Lucas.Amigo@salt.ch
108113;PostShop Laufen;Bahnhofstrasse 13;4242;Laufen;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
105397;PostShop Liestal;Poststrasse 3;4410;Liestal;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
108114;PostShop Spiez;Bahnhofstrasse 19;3700;Spiez;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
108115;PostShop Montreux;Avenue des Alpes;1820;Montreux 1;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
105398;PostShop Chiasso;Piazza Indipendenza 3;6830;Chiasso 1;Gianni Cartolano;Schweizerische Post;Gianni.Cartolano@salt.ch
108116;PostShop Mendrisio Stazione;Via Stefano Franscini 7;6850;Mendrisio Stazione;Gianni Cartolano;Schweizerische Post;Gianni.Cartolano@salt.ch
108117;PostShop Zermatt;Bahnhofstrasse 46;3920;Zermatt;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
108118;PostShop Fleurier;Avenue de la Gare;2114;Fleurier;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
105399;PostShop La Chaux-de-Fonds 1 Dépôt;Avenue Léopold-Robert;2301;La Chaux-de-Fonds 1 Dépôt;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
105400;PostShop Brig;Bahnhofstrasse 1  Postfach;3900;Brig;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
108119;PostShop Neuchâtel 2 Gare;Espace de l'Europe;2000;Neuchâtel 2 Gare;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
108120;PostShop Visp;Kantonsstrasse 3;3930;Visp;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
108121;PostShop Le Locle;Rue Bournot;2400;Le Locle;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
108122;PostShop La Chaux-de-Fonds 2 Marché;Rue du Marché;2302;La Chaux-de-Fonds 2 Marché;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
105401;PostShop Interlaken;Marktgasse 1;3800;Interlaken;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
105453;PostShop Biel 1 Annahme;Bahnhofplatz 2;2500;Biel/Bienne 1 Annahme/Dépôt;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
108123;PostShop Payerne;Rue des Granges 20;1530;Payerne;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
108124;PostShop Zollikofen;Schulhausstrasse 27;3052;Zollikofen;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
105454;PostShop Genève 28 Balexert;Avenue Louis-Casaï 27;1200;Genève 28 Balexert;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
108125;PostShop Pully;Place de la Gare 1;1009;Pully;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
105402;PostShop Renens VD;Avenue de la Poste 5;1020;Renens VD 1;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
108127;PostShop Meyrin;Avenue de Feuillasse 24;1217;Meyrin 1;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
108128;PostShop Chêne-Bourg;Rue du Gothard 22;1225;Chêne-Bourg;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
105403;PostShop Vevey;Avenue Général-Guisan;1800;Vevey 1;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
108129;Poste CH SA La Tour-de-Peilz;Avenue de la Gare;1814;La Tour-de-Peilz;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
105404;PostShop Martigny;Avenue de la Gare 34;1920;Martigny 1;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
105405;PostShop Sion;Place de la Gare 11;1950;Sion 1;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
105406;PostShop Sierre;Place de la Gare 5;3960;Sierre;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
105407;PostShop Zofingen;Untere Grabenstrasse 32;4800;Zofingen;Besnik Jakupi;Schweizerische Post;Besnik.Jakupi@salt.ch
108131;PostShop Lenzburg;Murackerstrasse 6;5600;Lenzburg 1;Besnik Jakupi;Schweizerische Post;Besnik.Jakupi@salt.ch
108132;PostShop Wohlen AG;Aargauerstrasse 8;5610;Wohlen AG 1;Besnik Jakupi;Schweizerische Post;Besnik.Jakupi@salt.ch
108133;PostShop Sarnen;Lindenhof;6060;Sarnen 1;Besnik Jakupi;Schweizerische Post;Besnik.Jakupi@salt.ch
108134;PostShop Stans;Bahnhofplatz;6370;Stans;Besnik Jakupi;Schweizerische Post;Besnik.Jakupi@salt.ch
108135;PostShop Schwyz;Oberer Steisteg 14;6430;Schwyz;Besnik Jakupi;Schweizerische Post;Besnik.Jakupi@salt.ch
108136;PostShop Adliswil;Poststrasse;8134;Adliswil 1;Lucas Amigo;Schweizerische Post;Lucas.Amigo@salt.ch
108137;PostShop Altdorf;Bahnhofstrasse;6460;Altdorf UR 1;Besnik Jakupi;Schweizerische Post;Besnik.Jakupi@salt.ch
108138;PostShop Amriswil;Bahnhofstrasse 13 B;8580;Amriswil;Lucas Amigo;Schweizerische Post;Lucas.Amigo@salt.ch
108139;PostShop Arbon;Friedenstrasse 7;9320;Arbon;Lucas Amigo;Schweizerische Post;Lucas.Amigo@salt.ch
105409;PostShop Davos;Bahnhofstrasse 3;7270;Davos Platz 1;Lucas Amigo;Schweizerische Post;Lucas.Amigo@salt.ch
108140;PostShop Effretikon;Bahnhofstrasse;8307;Effretikon;Lucas Amigo;Schweizerische Post;Lucas.Amigo@salt.ch
108141;PostShop Glarus;Schweizerhofstrasse 10;8750;Glarus;Lucas Amigo;Schweizerische Post;Lucas.Amigo@salt.ch
105410;PostShop Kreuzlingen;Nationalstrasse 3;8280;Kreuzlingen 1;Lucas Amigo;Schweizerische Post;Lucas.Amigo@salt.ch
108142;PostShop Pfäffikon SZ;Poststrasse;8808;Pfäffikon SZ;Lucas Amigo;Schweizerische Post;Lucas.Amigo@salt.ch
108143;PostShop Romanshorn;Bahnhofstrasse 2;8590;Romanshorn;Lucas Amigo;Schweizerische Post;Lucas.Amigo@salt.ch
105411;PostShop Schlieren;Freiestrasse;8952;Schlieren;Besnik Jakupi;Schweizerische Post;Besnik.Jakupi@salt.ch
108144;PostShop Spreitenbach;Shopping Center;8957;Spreitenbach;Besnik Jakupi;Schweizerische Post;Besnik.Jakupi@salt.ch
108145;PostShop Weinfelden;Bahnhofstrasse 10;8570;Weinfelden;Lucas Amigo;Schweizerische Post;Lucas.Amigo@salt.ch
108146;PostShop Marin-Centre;Rue de la Fleur-de-Lys;2074;Marin-Centre;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
108147;PostShop Avry-Centre;Route de Matran;1754;Avry-Centre FR;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
101348;PostShop Emmenbrücke;Stauffacherstrasse 1;6020;Emmenbrücke 3 Emmen Center;Besnik Jakupi;Schweizerische Post;Besnik.Jakupi@salt.ch
108148;PostShop Herzogenbuchsee;Lagerstrasse 14;3360;Herzogenbuchsee;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
108149;PostShop Lausanne 16 Malley;Chemin du Viaduc 1;1000;Lausanne 16 Malley;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
101144;PostShop Crissier;Chemin de Saugy 1;1023;Crissier 2 Sorge;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
102191;PostShop Kriens;Luzernerstrasse 26;6010;Kriens 1;Besnik Jakupi;Schweizerische Post;Besnik.Jakupi@salt.ch
102143;PostShop Kloten;Bahnhofstrasse 6;8302;Kloten;Gianni Cartolano;Schweizerische Post;Gianni.Cartolano@salt.ch
108150;PostShop Uznach;Zürcherstrasse;8730;Uznach;Lucas Amigo;Schweizerische Post;Lucas.Amigo@salt.ch
100445;PostShop Basel 5 St. Clara;Claragraben 81;4005;Basel 5 St. Clara;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
108151;PostShop Sursee;Centralstrasse 8 B;6210;Sursee;Besnik Jakupi;Schweizerische Post;Besnik.Jakupi@salt.ch
108152;PostShop Balsthal;Falkensteinerstrasse;4710;Balsthal;Besnik Jakupi;Schweizerische Post;Besnik.Jakupi@salt.ch
105149;PostShop Zürich 32 Neumünster;Forchstrasse;8008;Zürich 32 Neumünster;Gianni Cartolano;Schweizerische Post;Gianni.Cartolano@salt.ch
105151;PostShop Zürich 40 Sihlfeld;Albisriederstrasse;8003;Zürich 40 Sihlfeld;Gianni Cartolano;Schweizerische Post;Gianni.Cartolano@salt.ch
100750;PostShop Birsfelden;Hauptstrasse;4127;Birsfelden;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
100866;Post CH AG Bülach;Alte Winterthurerstrasse;8180;Bülach;Gianni Cartolano;Schweizerische Post;Gianni.Cartolano@salt.ch
102430;PostShop Lausanne La Riponne;Place de la Riponne 4;1000;Lausanne 17 Riponne;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
105412;PostShop Genève Plainpalais;Rue Pictet-de-Bock;1205;Genève;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
102288;JMR Télécommunication;Boulevard de Grancy;1006;Lausanne;Ludovic Girardin;SPP - Salt Point Partner;Ludovic.Girardin@salt.ch
102844;Missiliez SA;Avenue de la Plantaud ;1870;Monthey;Ludovic Girardin;SPP Premium;Ludovic.Girardin@salt.ch
101989;R. Schmuki AG;Industriestrasse ;9100;Herisau;Lucas Amigo;SPP - Salt Point Partner;Lucas.Amigo@salt.ch
104370;Perfekta Wil GmbH;Obere Bahnhofstrasse 49;9500;Wil SG;Lucas Amigo;SPP Premium;Lucas.Amigo@salt.ch
100167;Bianchetti Direkt-Handel;Bürenstrasse;3296;Arch;Emir Mustafa;SPP - Salt Point Partner;Emir.Mustafa@salt.ch
102718;Mobilezone SA Manno Via Cantonale;Via Cantonale;6928;Manno;Gianni Cartolano;MobileZone;Gianni.Cartolano@salt.ch
104411;AMS All Mobile Service AG;Technikumstrasse;8400;Winterthur;Lucas Amigo;SPP Premium;Lucas.Amigo@salt.ch
103699;Forclaz SA;Route de la Gemmi ;3960;Sierre;Ludovic Girardin;SPP - Salt Point Partner;Ludovic.Girardin@salt.ch
102486;Viva TV Sport GmbH Lenzburg;Bahnhofstrasse;5600;Lenzburg;Besnik Jakupi;SPP Premium;Besnik.Jakupi@salt.ch
104481;Viva TV Sport GmbH Wohlen;Zentralstrasse;5610;Wohlen;Besnik Jakupi;SPP Premium;Besnik.Jakupi@salt.ch
102289;Digital Planet;Galerie St. François A;1003;Lausanne;Ludovic Girardin;SPP Premium;Ludovic.Girardin@salt.ch
100648;Mobilezone SA Biasca;Via Lucomagno;6710;Biasca;Gianni Cartolano;MobileZone;Gianni.Cartolano@salt.ch
100467;Mobilezone SA Bellinzona Viale Stazione;Viale Stazione;6500;Bellinzona;Gianni Cartolano;MobileZone;Gianni.Cartolano@salt.ch
103379;Soundgarden Gartmann GmbH;Hauptstrasse;5734;Reinach;Besnik Jakupi;SPP Premium;Besnik.Jakupi@salt.ch
101445;Perfekta Wil GmbH;Obere Bahnhofstrasse;9500;Wil SG;Lucas Amigo;SPP Premium;Lucas.Amigo@salt.ch
101491;Ruchti TV GmbH;Tellenfeldstrasse;3714;Frutigen;Emir Mustafa;SPP - Salt Point Partner;Emir.Mustafa@salt.ch
101203;Auratel AG;Steinhaldenstrasse;8954;Geroldswil;Lucas Amigo;SPP - Salt Point Partner;Lucas.Amigo@salt.ch
100128;Saxer Telekom AG;Engelgasse;9450;Altstätten;Lucas Amigo;SPP Premium;Lucas.Amigo@salt.ch
102497;CORPORATEL-Fernando DIAS;Rue Gustave-Revilliod;1227;Les Acacias;Ludovic Girardin;SPP Premium;Ludovic.Girardin@salt.ch
102222;berberat-mobiles Sàrl;Rue Léopold-Robert 102;2300;La Chaux-de-Fonds;Emir Mustafa;SPP - Salt Point Partner;Emir.Mustafa@salt.ch
101529;Mobilezone SA Genève Les Cygnes EKZ;Centre Commercial Les Cygnes Genève /  Rue des Alpes;1201;Genève;Ludovic Girardin;MobileZone;Ludovic.Girardin@salt.ch
101841;Mobilezone AG Glarus;Schweizerhofstrasse;8750;Glarus;Lucas Amigo;MobileZone;Lucas.Amigo@salt.ch
102845;Mobile Center, Amorim Brito;Av. de France;1870;Monthey;Ludovic Girardin;SPP Premium;Ludovic.Girardin@salt.ch
104482;Ponana GmbH Wohlen;Alte Bahnhofstrasse;5610;Wohlen;Besnik Jakupi;SPP Premium;Besnik.Jakupi@salt.ch
103218;3JCOM SA;Lancy Centre  Route de Chancy;1213;Petit-Lancy;Ludovic Girardin;SPP Premium;Ludovic.Girardin@salt.ch
101533;3JCOM SA;rue du Tir;1204;Genève;Ludovic Girardin;SPP Premium;Ludovic.Girardin@salt.ch
102018;Handy Home Shop GmbH;Seestrasse;8810;Horgen;Lucas Amigo;SPP Premium;Lucas.Amigo@salt.ch
100030;Letec Aarau - Data Quest AG;Bahnhofplatz;5000;Aarau;Besnik Jakupi;SPP - Salt Point Partner;Besnik.Jakupi@salt.ch
103858;Letec St. Gallen - Data Quest AG;Neugasse;9000;St.Gallen;Lucas Amigo;SPP - Salt Point Partner;Lucas.Amigo@salt.ch
104412;Letec Winterthur - Data Quest AG;Untertor;8400;Winterthur;Lucas Amigo;SPP - Salt Point Partner;Lucas.Amigo@salt.ch
104723;Data Quest AG;Bahnhofplatz;8001;Zürich;Lucas Amigo;SPP - Salt Point Partner;Lucas.Amigo@salt.ch
107718;Data Quest AG;Riedstrasse;8953;Dietikon;Lucas Amigo;SPP - Salt Point Partner;Lucas.Amigo@salt.ch
107719;Data Quest AG;Weinbergstrasse;8006;Zürich;Lucas Amigo;SPP - Salt Point Partner;Lucas.Amigo@salt.ch
107720;Data Quest AG;Baarerstrasse;6300;Zug;Besnik Jakupi;SPP - Salt Point Partner;Besnik.Jakupi@salt.ch
107721;Data Quest AG;Pilatusstrasse;6003;Luzern;Besnik Jakupi;SPP - Salt Point Partner;Besnik.Jakupi@salt.ch
107722;Data Quest AG;Theaterplatz;3000;Bern;Emir Mustafa;SPP - Salt Point Partner;Emir.Mustafa@salt.ch
103012;Heiniger Unternehmensberatung AG;Leenrütimattweg;4704;Niederbipp;Emir Mustafa;SPP - Salt Point Partner;Emir.Mustafa@salt.ch
108155;Heiniger Unternehmensberatung AG;Bahnhofstrasse;9470;Buchs SG;Lucas Amigo;SPP - Salt Point Partner;Lucas.Amigo@salt.ch
103595;Data Quest AG;Vorstadt;8200;Schaffhausen;Lucas Amigo;SPP - Salt Point Partner;Lucas.Amigo@salt.ch
107723;Data Quest AG;Bälliz ;3600;Thun;Emir Mustafa;SPP - Salt Point Partner;Emir.Mustafa@salt.ch
107724;Data Quest AG;Steinbockstrasse;7000;Chur;Lucas Amigo;SPP - Salt Point Partner;Lucas.Amigo@salt.ch
100302;Ingenodata AG;Güterstrasse;4053;Basel;Emir Mustafa;SPP - Salt Point Partner;Emir.Mustafa@salt.ch
102526;PS Consulting Sàrl;Rte Cantonale;1897;Les Evouettes;Ludovic Girardin;SPP - Salt Point Partner;Ludovic.Girardin@salt.ch
103283;Technoware Sàrl;Place de la Gare;2900;Porrentruy;Ludovic Girardin;SPP Premium;Ludovic.Girardin@salt.ch
103361;Mobilezone AG Zentrale;Suurstoffi;6343;Rotkreuz;Besnik Jakupi;MobileZone;Besnik.Jakupi@salt.ch
100513;Mobilezone AG Bern Waaghaus;Waaghaus-Passage;3011;Bern;Emir Mustafa;MobileZone;Emir.Mustafa@salt.ch
103346;Mobilezone AG Rapperswil EKZ;EKZ Sonnenhof / Zürcherstrasse;8640;Rapperswil;Lucas Amigo;MobileZone;Lucas.Amigo@salt.ch
101538;Mobilezone SA Genève Carouge;Rue de Carouge;1205;Genève;Ludovic Girardin;MobileZone;Ludovic.Girardin@salt.ch
101177;Mobilezone SA Delémont;Avenue de la Gare;2800;Delémont;Emir Mustafa;MobileZone;Emir.Mustafa@salt.ch
103709;Mobilezone SA Signy Centre EKZ;Rue de Fléchères;1274;Signy-Centre;Ludovic Girardin;MobileZone;Ludovic.Girardin@salt.ch
103147;Mobilezone AG Oftringen Perry EKZ;Bernstrasse;4665;Oftringen;Besnik Jakupi;MobileZone;Besnik.Jakupi@salt.ch
103364;Mobilezone AG Regensdorf Zentrum EKZ;Zentrum Regensdorf;8105;Regensdorf;Lucas Amigo;MobileZone;Lucas.Amigo@salt.ch
102644;Mobilezone AG Luzern Kapellgasse;Kapellgasse;6004;Luzern;Besnik Jakupi;MobileZone;Besnik.Jakupi@salt.ch
103700;Mobilezone SA Sierre Noes EKZ;Centre Manor Sierre / Route de Sion;3960;Sierre;Ludovic Girardin;MobileZone;Ludovic.Girardin@salt.ch
104314;Mobilezone AG Weinfelden EKZ;Zentrum-Passage / Rathausstrasse;8570;Weinfelden;Lucas Amigo;MobileZone;Lucas.Amigo@salt.ch
102799;Mobilezone SA Meyrin EKZ;Avenue de Feuillasse;1217;Meyrin;Ludovic Girardin;MobileZone;Ludovic.Girardin@salt.ch
102224;Mobilezone SA La Chaux-de-Fonds Eplatures EKZ;Centre Commercial des Eplatures / Bd. des Eplatures;2304;La Chaux-de-Fonds;Ludovic Girardin;MobileZone;Ludovic.Girardin@salt.ch
100162;Mobilezone AG Arbon EKZ;EKZ Novaseta / St.Gallerstrasse;9320;Arbon;Lucas Amigo;MobileZone;Lucas.Amigo@salt.ch
101314;Mobilezone AG Egerkingen Gäupark EKZ;Hausimollstrasse;4622;Egerkingen;Emir Mustafa;MobileZone;Emir.Mustafa@salt.ch
100250;Mobilezone SA Balerna EKZ;Centro Breggia Balerna / Via S. Gottardo;6828;Balerna;Gianni Cartolano;MobileZone;Gianni.Cartolano@salt.ch
101884;Mobilezone SA Grancia EKZ;Centro Grancia / Parco Commerciale;6916;Grancia;Gianni Cartolano;MobileZone;Gianni.Cartolano@salt.ch
100855;Mobilezone AG Buchs EKZ;EKZ City Shopping / Bahnhofstrasse;9470;Buchs SG;Lucas Amigo;MobileZone;Lucas.Amigo@salt.ch
101036;Mobilezone AG Chur EKZ;EKZ City Shop / Quaderstrasse;7000;Chur;Lucas Amigo;MobileZone;Lucas.Amigo@salt.ch
104006;Mobilezone AG Thun Bälliz;Bälliz;3600;Thun;Emir Mustafa;MobileZone;Emir.Mustafa@salt.ch
103781;Mobilezone AG Spreitenbach Tivoli EKZ;Center Mall / Laden;8957;Spreitenbach;Besnik Jakupi;MobileZone;Besnik.Jakupi@salt.ch
100796;Mobilezone AG Brig;Bahnhofstrasse;3900;Brig;Emir Mustafa;MobileZone;Emir.Mustafa@salt.ch
102265;Mobilezone AG Langenthal;Marktgasse;4900;Langenthal;Emir Mustafa;MobileZone;Emir.Mustafa@salt.ch
102004;Mobilezone AG Hinwil EKZ Coop Megastore;Wässeristrasse;8340;Hinwil;Gianni Cartolano;MobileZone;Gianni.Cartolano@salt.ch
102743;Mobilezone SA Martigny EKZ;Centre Commercial le Manoir Martigny / Rue du Manoir;1920;Martigny;Ludovic Girardin;MobileZone;Ludovic.Girardin@salt.ch
102164;Mobilezone AG Kreuzlingen;Hauptstrasse;8280;Kreuzlingen;Lucas Amigo;MobileZone;Lucas.Amigo@salt.ch
103748;Mobilezone AG Solothurn;Hauptgasse;4500;Solothurn;Emir Mustafa;MobileZone;Emir.Mustafa@salt.ch
103848;Mobilezone AG St. Margrethen EKZ;EKZ Rheinpark / Neudorfstrasse;9430;St. Margrethen;Lucas Amigo;MobileZone;Lucas.Amigo@salt.ch
101129;Mobilezone SA Crissier EKZ;Centre MMM Crissier / Chemin de Closalet;1023;Crissier;Ludovic Girardin;MobileZone;Ludovic.Girardin@salt.ch
