LOGIN_USERNAME;Benutzername
catAgent_ticket_unnecessary;das unnötig war.
catAgent_ticket_duplicate;das ein Duplikat ist.
catAgent_ticket_incomplete;das unvollständige Angaben enthielt.
catAgent_ticket_wrongcat;aber die falsche Kategorie ausgewählt.
catAgent_ticket_wronglang;aber die falsche Sprache ausgewählt.
catAgent_ticket_notool;hätte stattdessen aber das dedizierte Tool verwenden sollen.
catAgent_answering;hat die Kundenanfrage beantwortet und
catAgent_answering_stateoftheart;tolle Arbeit geleistet! *
catAgent_answering_wronginfo;die falschen Informationen mitgeteilt. *
catAgent_answering_wrongoto;bei Angabe der OTO ID einen Fehler gemacht.
catAgent_answering_wrongpp;einen falschen Preisplan vorgeschlagen. *
catAgent_answering_wrongoption;die falsche Option/das falsche Paket vorgeschlagen. *
catAgent_answering_noret;einen Neuvertrag statt einer Vertragsverlängerung abgeschlossen. *
catAgent_answering_storeredirect;hat die Kund:in fälschlicherweise zum Store geschickt *
catAgent_answering_insuficientlangskills;verfügte nicht über ausreichende Sprachkenntnisse *

catAgent_misbehaviour;hat sich falsch verhalten,
catAgent_misbehaviour_tool;indem er:sie ein Tool falsch bedient hat. *
catAgent_misbehaviour_attitude;indem er:sie ein unprofessionelles Verhalten an den Tag gelegt hat. (respektlos) *
catAgent_misbehaviour_noinfo;indem er die Anfrage des Kunden nicht beantwortet hat. *
catAgent_misbehaviour_winback;indem er eine Kündigung (Winback oder Store) nicht eingegeben hat *
catAgent_misbehaviour_equipementticket;indem er kein Ticket für die Geräterückgabe erstellt hat *

catProcess;ein Prozess 
catProcess_dysfunction;,in Qoom/Qoof, funktioniert nicht.
catProcess_wrongdocumentation;,in Qoom/Qoof, ist falsch dokumentiert oder nicht verständlich.
catProcess_nodocumentation;benötigt eine Qoom:Qoof-Dokumentation.
catTool;ein Tool
catTool_missingfunk;verfügt nicht über eine bestimmte Funktion.
catTool_access;verweigert mir die Anmeldung.;
search_many_agent_error_title;Fehler bei der Suche nach einer Person.
search_many_agent_error_content;{0} Agent(en) konnten nicht gefunden werden: {1}.;
search_many_tl_error_content;{0} Agent(en) TL konnten nicht gefunden werden: {1}.;
warn_several_cases_title;Du versuchst, mehreren Agenten von mehreren Fällen/Kund:innen zu berichten.
warn_several_cases_message;"Beachte, dass dies so viele Berichte generiert wie die Anzahl der ausgewählten Personen. Wenn du jedoch mehrere Ticketnummern oder mehrere Kunden-IDs eingegeben hast, werden sie im selben Eintrag angezeigt. <br/>Mit anderen Worten erhält jede der ausgewählten Personen ein Better Together Formular mit allen Fällen/Kund:innen, die du hier aufgelistet hast.<br/>Wenn du eine Reihe von Better Together Formularen mit unterschiedlichen Fällen an verschiedene Agenten übermitteln möchtest, wende dich bitte an <a href=""mailto:better_together@salt.ch"">better_together@salt.ch</a>, um zu erfahren, wie dieses Sonderverfahren funktioniert.<br/><br/>Möchtest du fortfahren?"
SENDING_EMAILS;Versenden der E-Mail(s)
EMAIL_SENT_SUCCESFULLY;E-Mail(s) erfolgreich gesendet!

void_comment_label;Details
void_comment_tooltip;Beschreibe hier deine Argumente, um dieses better together zu aktualisieren oder zu entkräften.
void_statement_id_label;ID
void_statement_id_tooltip;QAST-ID des Better Together
void_checking_the_record;Suche in der Datenbank ...
void_comment_needed;Du musst erklären, warum du das Better Together zu aktualisieren oder zu entkräften willst!
void_incorrect_id;Dies ist keine QAST Better Togther ID!
void_unknown_error;Diese ID ist unbekannt (vielleicht wurde sie bereits storniert)!
void_type_of_query;Schlechter Antrag.
void_not_allowed;Du bist nicht berechtigt, dieses Better Together zu stornieren!

action_label;Main reason
action_bt_wrongly_filed_in;BT falsch eingegeben
action_coaching;Coaching
action_grouptraining;Group Training 
action_warning;Warning given to agent
action_dismissal;Dismissal  
action_leaver;Leaver 
action_wrongagent;Wrong agent (invalidate)
action_nomistake;No mistake made (invalidate)
action_needed;Du musst einen Hauptgrund auswählen!
