KEY;VALUE
common.resolution.solution.desc;Vollständige und richtige Informationen. Langfristige Lösung, um wiederholte Situation wie diese zu vermeiden. Erkenne Gelegenheiten, um der Kund:in die Firmenwerte (Qualität, Produkte) zu demonstrieren und Optionen vorzuschlagen. Behandlung von Einsprüchen. Richtige Entschädigungen. Kundenbindung (Retention). Getroffene Massnahmen.<br/><br/>Ändere die Kategorie und eskaliere über «Better Together», wenn ein unnötiges Ticket erstellt wurde oder wenn es an das falsche Team geschickt wurde (weil die falsche Fallkategorie benutzt wurde) oder wenn es unvollständig ist.
common.resolution.solution.passed;Wenn:<br/>- Agent lieferte korrekte und vollständige Informationen, stellte eine Lösung für das Kundenproblem sowie zusätzliche dazugehörige Optionen bereit. <br/>- Agent lieferte klare Lösungen, die zur Situation passten, und erklärte den Prozess ausführlich, um die Kund:in zufriedenzustellen.<br/>- Agent versuchte, die Kund:in zum Bleiben zu bewegen, indem ein Angebot unterbreitet wurde, dass an seine/ihre Bedürfnisse angepasst ist (Preisplanänderung, SIMO-Verlängerung oder mit Gerät, Akquise eines neuen Abonnenten, Erstellung eines WB2-Falls ...).<br/>- Alle Richtlinien und Prozesse wurden befolgt. <br/>- Die getroffenen Massnahmen sind richtig und angemessen.<br/>- Es wurden nur geringfügige Richtlinien verletzt, die keinerlei negativen Einfluss auf die Kund:in oder die Firma haben.<br/>- Wenn eine weitere Klärung seitens der Kund:in erforderlich ist: Agent löste das Problem basierend auf den gegebenen Informationen und stellte dann weitere angemessene Fragen zur Lösung des Problems.<br/>- Bei einer IDF-E-Mail: Agent lieferte allgemeine Informationen, sofern dies möglich ist (vermeidet einen Verstoss gegen die Sicherheitsbestimmungen) und fügt dann IDF/E-Mail je nach Anforderungen/Anfrage hinzu.<br/>Ändere die Kategorie und eskaliere über «Better Together», wenn ein unnötiges Ticket erstellt wurde oder wenn es beim falschen Team landet (weil die falsche Fallkategorie benutzt wurde) oder wenn es unvollständig ist.
common.resolution.solution.failed;Wenn<br/>- Agent lieferte falsche oder unvollständige Informationen.<br/>- Agent ging nicht auf das Anliegen der Kund:in ein.<br/>- Agent konnte keine Lösung finden. <br/>- Agent versuchte, eine Lösung anzubieten, die für die Situation unangemessen war. <br/>- Agent hat nicht versucht, die Kund:in zum Bleiben zu bewegen und hat ihm/ihr kein (angepasstes) Angebot gemacht.<br/>- Es gab einen Verstoss gegen die Richtlinien oder Prozesse. <br/>- Agent befolgte die falschen Richtlinien für die Situation oder hat sich nicht vollständig an die Richtlinie gehalten. <br/>- Agent stellte keine weiteren, angemessenen Fragen, um das Problem zu lösen, wenn mehr Informationen benötigt sind. <br/>- Agent gab eine Entschädigung, die nicht in den Richtlinien vereinbart ist.<br/>- Wenn eine zusätzliche Klärung durch die Kund:in erforderlich ist: Agent hat keine Informationen bereitgestellt/Hilfe angeboten (basierend auf den von der Kund:in angegebenen Informationen) und fragte stattdessen direkt nach weiteren Fragen und Klarstellungen.<br/>- Bei einer IDF-E-Mail: Agent lieferte keine allgemeinen Informationen (sofern möglich, ohne einen Verstoss der Sicherheitsbestimmungen zu begehen) und fügte nur die IDF/Nachricht hinzu.<br/>Für den Anruf gibt es insgesamt null Punkte, da dies ein schwerwiegender Fehler ist.<br/>- Agent schloss das Ticket, ohne es an das richtige Team weiterzuleiten.<br/>- «Better Together» nicht erfolgt, um eine falsche Bearbeitung seitens des Fallerstellers hervorzuheben.
common.resolution.proactivity;Proaktivität / Zukünftige Lösung
common.resolution.proactivity.desc;Erkenne Gelegenheiten, um der Kund:in die Firmenwerte (Qualität, Produkte usw.) zu demonstrieren.<br/>Schlägt Optionen und Alternativen vor.<br/>Bereitschaft, zusätzliche Probleme zu lösen, die nicht von der Kund:in angesprochen wurden.
common.resolution.proactivity.passed;Wenn:<br/>- Agent antizipierte weitere Probleme / Fragen und stellte zusätzliche Informationen bereit und unternahm Massnahmen, um zu verhindern, dass diese Probleme erneut auftreten.<br/>- Agent ging die Extrameile und gab der Kund:in alternative Kanäle (Mein Konto, FAQ usw.), die die Kund:in das nächste Mal konsultieren kann, um sich selbst zu helfen, anstatt uns anzurufen oder anzuschreiben. <br/>Muss über potenzielle zukünftige Probleme nachdenken, die im Zusammenhang mit der gelieferten Lösung stehen<br/>- Upselling/Cross-Selling, um Billshocks oder Beschwerden zu vermeiden (Upgrade, Wi-Fi-Extender usw.)
common.resolution.proactivity.failed;Wenn:<br/>- Agent hat keine weiteren Probleme / Fragen antizipiert und hat somit keine zusätzlichen Informationen bereitgestellt oder Massnahmen getroffen, damit diese Probleme nicht erneut auftreten.<br/>- Agent ging nicht die Extrameile und gab der Kund:in keine alternativen Kanäle, die die Kund:in das nächste Mal konsultieren kann, um sich selbst zu helfen, anstatt uns anzurufen oder anzuschreiben. <br/>- Agent dachte nicht gründlich über potentielle zukünftige Probleme in Verbindung mit der bereitgestellten Lösung nach.
common.resolution.system;Systemnutzung & -benachrichtigungen
common.resolution.system.desc;Nachbearbeitung («Wrap Up») und Notizen sind korrekt, effizienter Einsatz von Tools.
common.resolution.system.passed;Wenn:<br/>- Effizienter Einsatz von Tools (Memos, SuperOffice-Reiter, externe Tools usw.).<br/>- Komplette, ausführliche Notizen über die Kundeninteraktion in den entsprechenden Systemen (d. h. Wrap-Up-Memo in SO, VTI usw.) und notwendige Informationen im Feld «External Ticket ID» (externe Ticket-ID) (Contractor, FLL …) in SO. <br/>- Richtige Wrap-Up-Kategorie.<br/>- Deutliche Nachricht im Reiter «Internal message» (interne Nachricht) hinterlassen (E-Mail / Fall).<br/>- Ticket hat den richtigen Status (E-Mail / Fall).<br/>- Notwendige Informationen im Feld «External Ticket ID» (externe Ticket-ID) in SO hinzugefügt (Contractor, FLL ...) (für E-Mail / Fall).
common.resolution.system.failed;Wenn:<br/>- Agent benutzte nicht alle verfügbaren Tools auf eine effiziente Weise (Memos, SuperOffice-Reiter, externe Tools usw.).<br/>- Es gibt keine ausführlichen Notizen über die Kundeninteraktion in den entsprechenden Systemen (d. h. Wrap-Up-Memo fehlt in manchen Tools) und es wurden keine Informationen im Feld «External Ticket ID» (externe Ticket-ID) in SO (E-Mail / Fall) eingefügt. <br/>- Falsche Wrap-Up-Kategorie / entspricht nicht der Interaktion oder den vom Agenten getroffenen Massnahmen.<br/>- Falscher Ticketstatus.<br/>- Fall wurde falsch erstellt.
common.communication;KOMMUNIKATION
inbound.communication.listening;Aktives Zuhören
inbound.communication.listening.desc;Bevor du eine Lösung in Angriff nimmst, höre der Kund:in aktiv zu. Paraphrasiere ggf. den Standpunkt der Kund:in.<br/><br/>Aktives Zuhören im Kundendienst bedeutet, dass du dich komplett auf die Worte konzentrierst, die die Kund:in sagt, die Bedeutung dieser Worte begreifst und auf eine Art antwortest, die das Gesagte bestätigt.
inbound.communication.listening.passed;"Wenn:<br/>- CSS befolgte nicht den Ansatz «Beobachten, prüfen und beobachten»<br/>- CSS benutzte während des Anrufs keine verbalen Bestätigungsausdrücke (z. B. «So ist das also ... / ich verstehe ... / Hmm, ja, lassen Sie mich das für Sie nachschauen ...» usw.)<br/>- Konzentriere dich darauf, was die Kund:in sagt, anstatt auf deine Antwort<br/>- Konzentriere dich darauf, was die Kund:in nicht sagt – Tonfall<br/>- Falle nicht ins Wort – niemand mag es, mitten in einem Satz unterbrochen zu werden<br/>- Gib der Kund:in deine volle Aufmerksamkeit und lass dich nicht ablenken; keinerlei Multitasking während dem Kundengespräch<br/>- Mache dir schnell Notizen, aber lasse dich dabei nicht von dem ablenken, was die Kund:in sagt<br/>- Wiederhole gelegentlich das Gesagte gegenüber der Kund:in, um zu bestätigen, dass du die richtigen Informationen hast, und um deine Aufmerksamkeit zu demonstrieren<br/>- Nimm es nicht persönlich, wenn eine Kund:in sich aufregt – oft möchten sie nur Dampf ablassen, bevor du zur Lösung übergehen kannst<br/>- Kontrolliere oft, dass du die richtigen Informationen gesammelt hast und das Problem richtig verstehst"
inbound.communication.listening.failed;Wenn: <br/>- CSS befolgte nicht den «Beobachten, prüfen und beobachten»-Ansatz<br/>- CSS hat während des Anrufs keine bejahenden Gesprächswörter benutzt<br/>- CSS wirkte abgelenkt, während die Kund:in sprach<br/>- Hat die Kund:in denselben Sachverhalt wiederholen lassen<br/>- CSS hat den angegebenen Informationen nicht zugehört und die Kund:in musste dieselben Informationen mehrmals wiederholen<br/>- CSS unterbricht Kund:in<br/>- CSS stellt nicht sicher, dass er/sie die die richtigen Daten sammelt
case.communication.contact;Kontaktmedium
case.communication.contact.desc;Ist das Kontaktmedium der Kund:in richtig (Anruf? Versand eines Templates?)
case.communication.contact.passed;Wenn:<br/>- Der Agent die Kund:in angerufen hat, wenn es um einen komplexen und sensiblen Fall (Beschwerde) geht oder die Kund:in mehrere Aktionen durchführen muss<br/>- Der Agent ein Template (das richtige Lösungs-Template) per E-Mail verschickt hat, wenn die Kund:in telefonisch nicht erreichbar war oder wenn es sich um einfache Fälle handelt, für die ein Template vorhanden ist (z. B. Entschädigung erfolgt)
case.communication.contact.failed;Wenn:<br/>- Agent priorisierte nicht den Anruf an die Kund:in oder das Verschicken eines Templates (oder er/sie hat das falsche versendet).
common.communication.softskills;Soft Skills
common.communication.softskills.desc;Demonstration von Soft Skills und Empathie. <br/>Bestätigung der Gefühle der Kund:in.<br/>Fähigkeit, die es dir erlaubt, die Kundenperspektive zu verstehen, selbst wenn du nicht unbedingt der gleichen Meinung bist.<br/>- kommuniziere ehrlich<br/>- sprich Fakten und Gefühle an<br/>- demonstriere ein angemessenes Mass an Bedenken<br/>- bleibe objektiv
common.communication.softskills.passed;Wenn:<br/>- Ton der E-Mail/Stimme ist freundlich und personalisiert.<br/>- Benutzt empathische Äusserungen je nach/angepasst an den Ton der Kund:in. <br/>- Benutzt «Magic Words», positive Bekräftigungen, «Teambuilding»-Ausdrücke.<br/>- Schafft Vertrauen gegenüber der Kund:in und sorgt dafür, dass sie/er sich geschätzt und wohl fühlt.<br/>- <br/>- Spricht die Gefühle der Kund:in zuerst an, insbesondere, wenn der Ton der Kund:in Frustration/Irritation/Sarkasmus/Wut usw. zeigt.<br/>BEISPIELE / Ausdrücke wie:<br/>enthusiastisch, freundlich<br/>«Bitte / Danke / Hervorragend / Ich freue mich, .... zu tun. / Selbstverständlich ...»                                                                                                                                                             <br/>Empathie<br/>«Ich verstehe Ihre Bedenken», usw.<br/>«Es tut mir leid, das zu hören. Ich kann mir vorstellen, dass dies für Sie frustrierend sein muss»,<br/>«Ich verstehe, dass dies für Sie frustrierend sein muss/kann. Erlauben Sie mir, diese Situation zu beheben. Das erste, was wir tun müssen, ist …»<br/>«Ich verstehe Ihre Bedenken/Ihr Problem und ich werde prüfen, wie wir sie/es lösen können ...»<br/>«Ich verstehe Ihre Sichtweise. Das erste, was ich für Sie tun werde/überprüfen werde ...» <br/>Sprich zuerst die Gefühle der Kund:in an (insbesondere, wenn die Kund:in wütend ist) <br/>«Ich weiss genau, dass dies frustrierend sein kann. Ich kann verstehen, wie Sie sich fühlen» <br/>«Ich verstehe, dass diese Situation schwierig ist, also versuche ich, eine Lösung für Sie zu finden.»<br/>«Ich verstehe, was Sie sagen.  Erlauben Sie mir, zu prüfen, wie ich Ihnen hierbei helfen kann ...»<br/>«Danke, dass Sie sich die Zeit genommen haben, uns zu schreiben.» (E-Mail/Fall).<br/>«Vielen Dank für Ihre E-Mail. Wir freuen uns, die Gelegenheit zu nutzen, um die Geschehnisse zu klären.» (E-Mail/Fall)<br/>«Wir freuen uns immer über Kund:innen, die sich die Zeit nehmen, uns eine Rückmeldung zu geben. Ich werde Ihre Mitteilung an unser Management-Team weiterleiten.»<br/>Gefühl der Dringlichkeit<br/>«Um Ihnen zu helfen, mache ich gerade …» (Telefon)
common.communication.softskills.failed;Wenn:<br/>- Tone der E-Mail/Stimme ist gleichgültig, trocken, roboterhaft, «flach» oder apathisch.<br/>- E-Mail vermag es nicht, einen freundlichen Tonfall oder einen personalisierten Ton anzuschlagen. <br/>- E-Mail hat keine empathischen Äusserungen oder zeigt kein Verständnis gegenüber dem Kundenproblem.<br/>- Benutzt keine / kaum «Magic Words» oder positive Bekräftigungen.<br/>- Agent sprach nicht die Gefühle der Kund:in an, sodass er/sie sich geschätzt fühlt.<br/>- Agent vermochte es nicht, die Antwort an das Kundenprofil anzupassen (Sonnenkund:in / Wolkenkund:in / Gewitterkund:in)<br/>- CSS bemüht sich nicht darum, dass die Kund:in sich wohlfühlt.<br/>- CSS demonstriert ironischen, hektischer Tonfall (weicht von der üblichen oder korrekten Verhaltensweise / Meinung ab).
common.communication.professionalism;Professionalität
common.communication.professionalism.desc;E-Mail:<br/>Bleibe höflich.<br/>Beachte Wortwahl, Satzlänge, Interpunktion und Grossschreibung.<br/><br/>Telefon:<br/>Verhalten insgesamt während des Anrufs.<br/>Attribut-Prüfungen, ob der Agent professionell war, Skills, gutes Urteilsvermögen und ein höfliches Verhalten gezeigt hat.
common.communication.professionalism.passed;E-Mail:<br/>- Ton der E-Mail ist professionell, respektvoll und höflich.<br/>- Insgesamt bleiben Interpunktion und Wortwahl professionell.<br/>- Sätze enden nicht in Ausrufezeichen und sind nicht zu wortreich. <br/>- Die Antwort enthält keine Einschübe in Klammern.<br/>- Abkürzungen und Nummern unter 10 werden ausgeschrieben. <br/>- Text hat Worte statt Symbole.<br/>- Text weist keine unnötigen Grossschreibungen auf. <br/>- Es gibt keine Konkordanzfehler zwischen Subjekt und Verb (z. B. «die Zeit  .. .. sind» sollte heissen «die Zeit .. .. ist»).<br/><br/>Telefon:<br/>- Agent verhält sich während des ganzen Anrufs professionell.<br/>- Agent behält einen kühlen Kopf in Stresssituationen oder wenn er durch die Kund:in unter Druck gesetzt wird.<br/>- Agent antwortet statt zu reagieren.
common.communication.professionalism.failed;E-Mail:<br/>- Ton der E-Mail ist abgehackt, unprofessionell, zu salopp, respektlos oder unhöflich.<br/>- Insgesamt bleiben Interpunktion und Wortwahl nicht professionell.<br/>- Sätze enden in Ausrufezeichen oder sind zu wortreich. <br/>- Die Antwort enthält Einschübe in Klammern.<br/>- Abkürzungen und Nummern unter 10 werden nicht ausgeschrieben. <br/>- Text hat keine Worte statt Symbole.<br/>- Text weist unnötige Grossschreibungen auf. <br/>- Kommata und Punkte fehlen bei den Sätzen, sodass der Text/Satz schwer zu verstehen ist.<br/>- Es gibt Konkordanzfehler zwischen Subjekt und Verb (z. B. «die Zeit  .. .. sind» sollte heissen «die Zeit .. .. ist»).<br/><br/>Telefon:<br/>- Das Verhalten des Agenten ist unhöflich oder unprofessionell.<br/>- Agent ist respektlos, sarkastisch und ironisch.<br/>- Agent ist die Kundenanfrage gleichgültig.<br/>- Hält sich nicht zurück und reagiert (statt zu antworten). <br/>- Stimme wird lauter.<br/>- Wird defensiv oder schlägt verbal zurück.
common.communication.structure;Struktur / Anrufkontrolle
common.communication.structure.desc;E-Mail:<br/>Durchdachte Präsentation der E-Mail<br/>- Gib die richtige Menge an Informationen auf die richtige Art und Weise, sodass die Leser:in die Nachricht leicht lesen kann und will.<br/><br/>Struktur, die dem Leser hilft, den Text zu «scannen»<br/>- Halte die Nachricht deutlich, kurz und prägnant.<br/>- Schreibe kurze Sätze, die zum Punkt kommen. <br/>- Der Textteil der E-Mail sollte direkt und informativ sein, und er sollte alle relevanten Informationen beinhalten.<br/>- Mache dir die Wirkung von Absätzen mit nur einem Satz zu Nutze.<br/><br/>Telefon:<br/>Behalte stets die Kontrolle über den Anruf. <br/>Beende ihn im vorgegebenen Zeitrahmen / vergewissere dich, dass alle notwendigen Details angesprochen werden.<br/>Kontrolliere den Anruf, indem du es vermeidest, die Anrufer:in zu verwirren, und der Kund:in zeigst, dass du helfen möchtest.<br/>Übernimm die Führung während des Anrufs, indem du Selbstbewusstsein zeigst und Lösungen mit einem positiven Ergebnis lieferst.
common.communication.structure.passed;E-Mail:<br/>- Text zeigt eine leserfreundliche und klare Struktur.<br/>- Nachricht ist klar, kurz und prägnant.<br/>- Informationen werden auf eine klare, präzise und verständliche Art übermittelt.<br/>- Text mit «leicht zu überfliegenden» Passagen: kurze Absätze, Absatzüberschriften und Stichpunkte.<br/>- Hyperlinks, um unübersichtliche Sätze zu vermeiden.<br/>- Jeder Absatz übermittelt einen Punkt und verbindet Gedanken nahtlos miteinander.<br/><br/>Telefon:<br/>- CSS demonstrierte durch proaktive Äusserungen, dass er die Kontrolle über den Anruf hatte, und bot Lösungen für das Kundenproblem an. <br/>- Zeigte stellenweise Selbstvertrauen beim Bereitstellen von Lösungen.<br/>- Übernahm im Gespräch die Führung<br/>- Gesprächspausen werden so kurz wie möglich gehalten (2-3 Instanzen von Gesprächspausen sind ok)<br/>- Behielt eine korrekte/einheitliche Haltung bei (z. B. gemäss dem auf der Plattform Qoom vorgegebenen Wording)<br/>- Behielt seine positive Haltung <br/>- Benutzte positive Worte und Bekräftigungen
common.communication.structure.failed;E-Mail: <br/>- Text zeigt eine verwirrende oder schlampige Struktur. <br/>- Informationen werden auf eine verwirrende, vage oder schwer zu verstehende Weise vermittelt.<br/>- Text mit langen Absätzen ohne Stichpunkte.<br/>- Abgehackte Sätze oder Sätze, die zu lang und dadurch unklar sind.<br/>- Ohne Hyperlinks (wodurch die Sätze chaotisch wirken).<br/>- Kein nahtloser Übergang zwischen den einzelnen Gedanken.<br/>- Absätze sind länger als drei oder vier Sätze.<br/><br/>Telefon:<br/>- CSS wirkte nicht vertrauenerweckend wegen langen Redepausen und unverbindlichen Ausdrücken (ähm, oh, mhm).<br/>- Konnte die Kund:in nicht wieder auf das ursprüngliche Thema zurückbringen. <br/>- Zeigte wenig Selbstbewusstsein<br/>- Erlaubte der Kund:in, beim Anruf den Ton anzugeben.<br/>- Sehr viele Redepausen oder lange Redepausen während dem Anruf.<br/>- CSS benutzt negative Äusserungen.<br/>- CSS greift bei einem Problem/einem Bug auf «pauschale Begründungen» zurück<br/>  (d. h. Wording bei Problemen infolge von «Bugs»/«Systemupdates»: «Wir bauen für Sie»).<br/>- Äusserungen wie: «aufgrund von System...», «aufgrund von Prozess...», «wegen der Unternehmensentscheidung...» «wegen eines allgemeinen Problems...».<br/>- Unsicherer Tonfall: «könnte sein ...», «sollte haben ...», «wahrscheinlich ...», wenn die Kund:in nach einer Lösung und einer klaren Antwort sucht.
inbound.communication.speech;Sprechgeschwindigkeit
inbound.communication.speech.desc;Sprich langsam, deutlich und verständlich. Benutze keine fremdsprachigen Worte (Anglizismen) oder technische Begriffe (Jargon). Unterbrich die Kund:in nicht. Passe dich der Sprechgeschwindigkeit der Kund:in an
inbound.communication.speech.passed;Wenn:<br/>- Agent war sehr ermutigend. <br/>- Sprach langsam & deutlich.  <br/>- Benutzte den Kundennamen (um eine Beziehung aufzubauen).<br/>- Agent hat Kund:in nicht unterbrochen.
inbound.communication.speech.failed;Wenn:<br/>- Agent war gar nicht ermutigend. <br/>- Sprach zu schnell oder nicht deutlich, Kund:in musste den Agenten bitte, sich zu wiederholen. <br/>- Hat Kundennamen gar nicht benutzt. <br/>- Unterbrach die Kund:in.<br/>- Agent klingt gelangweilt, aggressiv oder gleichgültig.
inbound.communication.blanks;Warteschleife & Pausen
inbound.communication.blanks.desc;Kund:in wird nicht zu lange, zu oft oder unnötigerweise in die Warteschleife gesetzt.<br/>Wenn die Kund:in in die Warteschleife gesetzt wird, fragt CSS die Kund:in nach seiner/ihrer Erlaubnis und erklärt ihm/ihr den Grund dafür.<br/>CSS informiert Kund:in über die getroffenen Massnahmen und lässt ihn/sie nicht ohne Informationen zurück.
inbound.communication.blanks.passed;Wenn:<br/>- CSS hat Kund:in nicht unnötigerweise, zu oft oder zu lange in die Warteschleife gesetzt<br/>- Bittet Kund:in immer um ihre/seine Erlaubnis und erklärt ihr/ihm den Grund dafür<br/>- Hält die Kund:in auf dem Laufenden, wenn du nicht sprichst und die Kund:in nicht in der Warteschleife ist (z. B. «Ich nehme mir ein paar Sekunden Zeit, um mir Notizen zu Ihrem Fall zu machen» usw.)
inbound.communication.blanks.failed;Wenn:<br/>- CSS hat Kund:in unnötigerweise, zu oft und zu lange in die Warteschleife gesetzt<br/>- Bittet nicht um Erlaubnis oder klärt Kund:in nicht warum sie/er in die Warteschleife gesetzt wird<br/>- Informiert Kund:in nicht über getroffene Massnahmen und lässt sie/ihn ohne Informationen zurück (Stille/nichtssagend)
common.sales;CROSS-/UPSELLING
inbound.sales.opportunity;Gelegenheit für ein Angebot
inbound.sales.opportunity.desc;Gelegenheit, um verfügbare Promotions vorzuschlagen:<br/>- Option (z. B.: Mobile Security App)<br/>- Verlängerung<br/>- Akquise eines zusätzlichen Abonnenten<br/>- Salt Home (wenn Fiber an der Adresse verfügbar und Kundenberater (CSR, customer service representative) berechtigt zum Verkauf von Home)
inbound.sales.opportunity.passed;Wann:<br/>- Agent schlägt die Option «Mobile Security App» vor<br/>- Agent nutzt die Gelegenheit, um einen Vertrag vorzuschlagen
inbound.sales.opportunity.failed;Wenn:<br/>- Agent schlug keine Optionen vor<br/>- Es gab eine klare Gelegenheit zum Anbieten eines Vertrags, aber der Agent hat dies weder vorgeschlagen, noch erwähnt<br/>- Nicht zutreffend bei AUSSERGEWÖHNLICHEN Umständen/Situationen z. B. Kund:in ruft wegen Kündigung an, Eröffnung eines Ombudscom-Falls o. ä.
inbound.sales.argumentation;Argumentationsansatz
inbound.sales.argumentation.desc;Stelle Fragen, damit die Kund:in merkt, dass sie/er das Produkt braucht und was die potenziellen Vorteile für ihn/sie sind.<br/>Stelle subjektive und dynamische/reaktive Fragen je nach Gesprächsverlauf.<br/><br/>Wenn die Kund:in widerspricht, versuche nach den Gründen zu fragen, entkräftige sie und antworte entsprechend / liefere Gegenargumente.
inbound.sales.argumentation.passed;Wenn:<br/>- Agent stellt Fragen, um die Bedürfnisse/Interessen der Kund:in zu identifizieren.<br/>- Offene Fragen (warum/wie?) / geschlossene Fragen, um Rückschlüsse zu ziehen.<br/>- Bei einem Einspruch fragt der Agent die Kund:in nach den Gründen, um entsprechend reagieren zu können.<br/>- Agent bemühte sich, das Interesse aufrechtzuerhalten / den Einspruch zu widerlegen.
inbound.sales.argumentation.failed;Wenn:<br/>- Es in dem Gespräch keine Fragen oder Punkte gab, die die Kundenbedürfnisse weiter beleuchten und ans Tageslicht bringen.<br/>- Agent versuchte überhaupt nicht, auf den Einspruch der Kund:in einzugehen.<br/>- Agent gab sich keine Mühe, ein Gegenargument vorzubringen<br/>- Agent bestätigte falsche Angaben zu Produkt oder Option
inbound.sales.validation;Finale Angebotsprüfung (Verkauf)
